Accession ID,Accession name,Tiller number,Tiller angle (°),Plant height (cm),Flag leaf length (cm),Flag leaf width (cm),Flag leaf length / width,Flag leaf angle,Panicle number,Panicle type,Panicle length (cm),Pericarp color,Hull color
CH241,Heimi,11.1666666666667,16.3333333333333,104.833333333333,21.8,1.68,12.9852941176471,1.0,8.5,2.0,23.3,0.0,1.0
CH242,Dishuigu,10.3333333333333,17.5,101.75,25.5,1.96,12.9947368421053,3.0,6.5,2.0,22.65,0.0,0.0
CH243,Yelicang,14.5,18.0,129.75,30.0,1.58,18.9910714285714,1.0,10.5,3.0,26.025,0.0,0.0
CH244,Baiganlufeng,12.1666666666667,12.0,139.75,31.4,1.4,22.4285714285714,1.0,8.33333333333333,2.0,24.45,0.0,1.0
CH245,Sankecun,15.0,18.8333333333333,98.5,24.2,1.56,15.5142857142857,1.0,8.66666666666667,2.0,21.9,0.0,0.0
CH246,Qianhui13,9.5,20.6666666666667,114.0,20.0,1.56,12.8208333333333,3.0,6.16666666666667,2.0,20.125,0.0,0.0
CH247,R 481 yan ,11.8333333333333,11.6666666666667,83.75,20.6,1.42,14.4952380952381,1.0,8.66666666666667,2.0,20.025,0.0,0.0
CH248,Tianhongtian,11.0,11.6666666666667,90.5,26.6,1.42,18.7142857142857,1.0,7.83333333333333,2.0,18.825,1.0,0.0
CH249,Wan48,10.1666666666667,9.33333333333333,87.75,25.6,1.84,13.9035087719298,1.0,9.16666666666667,2.0,21.825,0.0,0.0
CH250,Guifuxian3hao,8.33333333333333,10.3333333333333,105.2,22.9,1.46,15.7142857142857,1.0,7.33333333333333,2.0,23.95,0.0,0.0
CH251,Kainuo91,7.33333333333333,12.1666666666667,113.5,23.6,1.92,12.2643274853801,3.0,4.83333333333333,2.0,24.6,0.0,0.0
CH252,Zao89-5513,12.0,22.5,77.75,21.1,1.34,15.7142857142857,1.0,9.0,2.0,21.55,0.0,0.0
CH253,Louzaoxianjian17,12.0,18.6666666666667,60.5,21.1,1.38,15.2967032967033,1.0,8.83333333333333,2.0,18.65,0.0,0.0
CH254,Nanjing3678,15.8333333333333,21.0,87.75,23.7,1.5,15.8047619047619,1.0,10.6666666666667,2.0,22.3375,0.0,0.0
CH255,Guangwen125,11.6666666666667,20.6666666666667,83.75,23.5,1.8,13.0555555555556,1.0,7.16666666666667,1.0,17.95,0.0,0.0
CH256,Zhongjuanxian,10.0,10.6666666666667,120.0,28.2,1.92,14.6906432748538,3.0,6.5,2.0,22.25,0.0,0.0
CH257,Kexiang,9.33333333333333,13.1666666666667,87.0,25.5,1.9,13.4201754385965,1.0,7.83333333333333,2.0,21.6,0.0,0.0
CH258,Haohao,12.0,11.3333333333333,97.0,22.8,1.5,15.2636904761905,3.0,9.5,2.0,22.4,1.0,1.0
CH259,Guangnangu,13.0,14.5,158.0,31.9,1.44,22.1952380952381,5.0,8.5,2.0,24.65,0.0,0.0
CH260,Haogailan,9.16666666666667,16.0,125.5,25.3,1.98,12.7894736842105,3.0,5.16666666666667,2.0,19.975,0.0,0.0
CH261,Maxiangu,10.0,18.8333333333333,199.5,28.1,1.76,16.0326797385621,5.0,7.66666666666667,2.0,30.1,0.0,0.0
CH262,Huangbansuo,12.3333333333333,17.5,142.25,35.2,1.64,21.4558823529412,5.0,8.33333333333333,2.0,27.3,0.0,0.0
CH265,Yazhan,15.5,23.6666666666667,120.25,28.1,1.28,21.974358974359,3.0,13.3333333333333,2.0,24.625,1.0,1.0
CH266,Erhuangmi,14.1666666666667,13.1666666666667,123.25,28.7,1.48,19.3517857142857,1.0,10.1666666666667,3.0,22.0,1.0,1.0
CH267,Menjiaheisi,14.5,10.3333333333333,95.5,21.8,1.8,12.1111111111111,1.0,11.1666666666667,2.0,18.9,1.0,1.0
CH268,Wunong6hao,18.0,19.3333333333333,99.5,25.7,1.02,25.2040404040404,3.0,15.5,3.0,20.475,0.0,0.0
CH269,Zaoguiba,14.6666666666667,21.0,84.0,23.7,1.6,14.7995098039216,1.0,10.1666666666667,2.0,19.725,0.0,0.0
CH270,Benmonuo,9.16666666666667,10.6666666666667,82.75,29.5,1.88,15.7055555555556,1.0,7.0,2.0,24.625,1.0,1.0
CH271,Xinheinuo2hao,16.0,22.6666666666667,96.1666666666667,22.1,1.92,11.5315789473684,1.0,10.8333333333333,2.0,22.3375,0.0,0.0
CH272,89-6,15.5,21.6666666666667,94.5,20.9,1.6,13.1571078431373,1.0,10.5,2.0,19.55,0.0,0.0
CH273,Shuangkanghong,17.0,17.1666666666667,94.0,27.3,1.48,18.4619047619048,1.0,10.1666666666667,2.0,22.3375,0.0,0.0
