№ каталога ВИР,Дата посева,Посев-начало всходов (дней),Начало всходов-начало цветения (дней),Начало всходов-конец цветения (дней),Начало цветения-конец цветения (дней),Начало цветения- начало созревания (дней),Начало всходов- начало созревания (дней),Начало всходов- полное созревание (дней),Начало созревания-полное созревание (дней),Цветок - окраска,Стебель окраска,Форма куста,Размер листочка,Цветоножка (окраска),Аскохитоз (поражение) 2017,Стебель- ветвистость (балл),Стебель  длина ветвей 1-го порядка,Стебель - характер ветвления (ветви 1-го порядка),Стебель - характер ветвления (ветви 2-го порядка),Осыпаемость бобов,Растрескиваемость бобов,Ptht 1,Ptht 2,Ptht 3,Ptht 4,Ptht 5,Hlp 1,Hlp 2,Hlp 3,Hlp 4,Hlp 5,Byld 1,Byld 2,Byld 3,Byld 4,Byld 5,WpWp 1,WpWp 2,WpWp 3,WpWp 4,WpWp 5,PPP 1,PPP 2,PPP 3,PPP 4,PPP 5,SPP 1,SPP 2,SPP 3,SPP 4,SPP 5,SYDS 1,SYDS 2,SYDS 3,SYDS 4,SYDS 5,PodSH,PDL 1,PDL 2,PDL 3,PDL 4,PDL 5,PDW 1,PDW 2,PDW 3,PDW 4,PDW 5,SSH,SCO,TSW,SNP ID
473,2017-05-02,7,41,65,24,30,71,94,23,3,3,3,5,3,5,9,5,7,7,1,2,40.0,42.0,41.0,45.0,55.0,16.0,14.0,16.0,15.0,16.0,161.2,71.5,53.7,29.1,88.7,52.9,29.6,18.9,10.8,27.9,253.0,101.0,89.0,74.0,160.0,335.0,122.0,127.0,76.0,232.0,69.7,24.4,24.6,11.4,42.6,7,25.0,23.0,23.0,20.0,23.0,10.0,10.0,10.0,10.0,10.0,5,10,240.0,VIR0473
474,2017-05-02,7,34,59,25,39,73,80,7,3,7,3,5,7,9,9,5,7,7,1,2,55.0,50.0,55.0,45.0,50.0,16.0,26.0,26.0,19.0,20.0,33.0,76.4,31.4,43.5,33.7,8.6,19.2,10.0,9.9,10.8,61.0,130.0,59.0,83.0,63.0,77.0,177.0,61.0,102.0,71.0,13.1,31.4,11.5,17.1,12.2,7,22.0,20.0,20.0,22.0,22.0,11.0,10.0,11.0,12.0,11.0,3,10,220.0,VIR0474
482,2017-05-02,7,34,51,17,35,69,78,9,3,7,5,3,7,5,7,5,1,5,1,1,60.0,60.0,57.0,55.0,50.0,23.0,21.0,23.0,22.0,27.0,45.2,27.0,53.9,76.0,31.2,11.9,8.5,16.7,24.5,8.3,109.0,67.0,106.0,170.0,73.0,147.0,77.0,136.0,207.0,95.0,23.5,12.7,25.7,38.6,17.3,7,20.0,23.0,22.0,21.0,22.0,9.0,10.0,9.0,10.0,10.0,3,11,205.0,VIR0482
483,2017-05-02,7,34,50,16,35,69,78,9,3,7,5,3,7,5,9,5,7,5,2,2,53.0,52.0,51.0,52.0,55.0,31.0,20.0,24.0,23.0,23.0,21.5,36.5,29.0,20.9,32.7,5.4,11.4,9.3,3.5,10.2,50.0,86.0,66.0,48.0,85.0,66.0,90.0,81.0,57.0,105.0,11.4,15.0,12.9,10.7,15.2,7,22.0,25.0,25.0,22.0,26.0,11.0,12.0,13.0,11.0,13.0,3,11,205.0,VIR0483
533,2017-05-02,7,32,48,16,39,71,81,10,1,3,5,7,3,5,9,5,7,7,2,1,68.0,63.0,53.0,60.0,47.0,23.0,23.0,20.0,21.0,23.0,170.1,56.4,42.0,94.6,34.4,46.3,18.2,10.4,22.3,12.7,207.0,75.0,45.0,118.0,33.0,211.0,87.0,42.0,131.0,41.0,54.9,25.0,14.2,42.3,14.0,5,25.0,25.0,24.0,25.0,26.0,14.0,13.0,13.0,14.0,15.0,5,1,430.0,VIR0533
535,2017-05-02,7,32,49,17,40,72,83,11,1,3,3,5,3,7,9,5,7,5,2,2,62.0,56.0,55.0,53.0,60.0,23.0,22.0,20.0,22.0,23.0,77.2,87.4,77.6,42.9,103.9,18.9,21.2,21.2,10.6,25.9,136.0,165.0,164.0,76.0,153.0,189.0,223.0,196.0,105.0,130.0,33.4,36.2,42.1,20.0,41.3,5,25.0,27.0,25.0,27.0,25.0,11.0,12.0,13.0,12.0,12.0,5,1,220.0,VIR0535
539,2017-05-02,7,31,61,30,41,72,83,11,3,7,3,5,7,7,9,5,7,7,2,1,60.0,62.0,60.0,60.0,55.0,17.0,17.0,17.0,17.0,17.0,42.2,52.2,45.3,37.7,26.0,11.3,17.2,14.4,17.3,7.7,70.0,90.0,95.0,70.0,46.0,81.0,100.0,88.0,79.0,49.0,15.5,21.6,12.5,12.6,9.1,7,25.0,24.0,23.0,23.0,24.0,13.0,12.0,12.0,11.0,11.0,3,11,265.0,VIR0539
540,2017-05-02,8,30,49,19,41,71,82,11,3,7,5,5,7,7,9,5,7,7,2,2,60.0,40.0,55.0,46.0,52.0,20.0,14.0,17.0,12.0,19.0,19.7,14.8,36.5,22.5,13.4,10.3,9.7,10.9,15.2,4.7,24.0,24.0,36.0,67.0,25.0,22.0,21.0,43.0,68.0,23.0,3.6,1.9,6.7,8.1,1.9,7,23.0,25.0,25.0,24.0,22.0,10.0,13.0,11.0,11.0,10.0,3,11,170.0,VIR0540
542,2017-05-02,7,32,51,19,38,70,82,12,1,3,3,5,3,5,9,5,7,5,2,1,60.0,55.0,55.0,53.0,55.0,25.0,20.0,26.0,23.0,26.0,27.2,30.0,34.5,46.0,43.7,9.6,11.2,12.1,12.1,17.4,38.0,40.0,61.0,63.0,66.0,44.0,51.0,70.0,71.0,70.0,10.6,12.0,14.9,17.1,15.5,7,25.0,25.0,25.0,24.0,25.0,12.0,13.0,12.0,12.0,13.0,5,1,295.0,VIR0542
543,2017-05-02,7,37,61,24,33,70,78,8,1,3,5,3,3,1,9,5,7,5,2,2,65.0,60.0,60.0,60.0,52.0,31.0,31.0,33.0,22.0,31.0,135.7,84.1,78.7,42.1,36.8,57.3,47.5,42.0,13.5,18.2,159.0,98.0,74.0,76.0,47.0,170.0,102.0,88.0,92.0,55.0,41.3,24.8,22.2,19.9,13.4,7,22.0,22.0,24.0,22.0,23.0,12.0,11.0,12.0,11.0,11.0,5,1,290.0,VIR0543
